entity,code,year_value,other_portion,alcohol_portion,sugar_portion,dairy_eggs_portion,fruit_vegetables_portion,starchy_roots_portion,pulses_portion,cereals_grains_portion,oils_fats_portion,meat_portion,total_kilocalories,share_obese_adults
Myanmar,MMR,1975,0.0067613252197430695,0.000676132521974307,0.02231237322515213,0.011494252873563218,0.03583502366463827,0.0033806626098715348,0.03786342123056119,0.7261663286004056,0.11223799864773495,0.043272481406355645,1479,0.5
Myanmar,MMR,1976,0.0053655264922870555,0.0013413816230717639,0.028839704896042925,0.011401743796109993,0.03621730382293763,0.00335345405767941,0.03286384976525822,0.7256874580818243,0.11066398390342053,0.04426559356136821,1491,0.5
Myanmar,MMR,1977,0.0079155672823219,0.0013192612137203166,0.02836411609498681,0.011873350923482849,0.036279683377308705,0.00395778364116095,0.04287598944591029,0.7183377308707124,0.10554089709762533,0.04353562005277045,1516,0.5
Myanmar,MMR,1978,0.00643915003219575,0.0019317450096587251,0.028976175144880875,0.01159047005795235,0.03477141017385705,0.0038634900193174502,0.04829362524146812,0.7102382485511912,0.11010946555054733,0.0437862202189311,1553,0.6
Myanmar,MMR,1979,0.006993006993006993,0.0019071837253655435,0.029243483788938335,0.012078830260648443,0.033693579148124604,0.003178639542275906,0.04259376986649714,0.7018436109345201,0.12460267005721551,0.043865225683407505,1573,0.6
Myanmar,MMR,1980,0.007736943907156673,0.0012894906511927789,0.02256608639587363,0.012250161186331399,0.03546099290780142,0.006447453255963894,0.029013539651837523,0.7369439071566731,0.1031592520954223,0.04513217279174726,1551,0.6
Myanmar,MMR,1981,0.003708281829419036,0.001854140914709518,0.0315203955500618,0.013597033374536464,0.034610630407911,0.006798516687268232,0.037082818294190356,0.7064276885043264,0.11928306551297899,0.04511742892459827,1618,0.7
Myanmar,MMR,1982,0.006571087216248507,0.0017921146953405018,0.03225806451612903,0.013739545997610514,0.03345280764635603,0.006571087216248507,0.047192353643966546,0.6851851851851852,0.13142174432497014,0.04181600955794504,1674,0.7
Myanmar,MMR,1983,0.00535077288941736,0.0017835909631391202,0.03388822829964328,0.014863258026159334,0.03329369797859691,0.006539833531510107,0.039239001189060645,0.692627824019025,0.13079667063020214,0.041617122473246136,1682,0.7
Myanmar,MMR,1984,0.005269320843091335,0.00234192037470726,0.036885245901639344,0.016978922716627636,0.03454332552693208,0.00702576112412178,0.04625292740046839,0.6750585480093677,0.13407494145199064,0.04156908665105386,1708,0.8
